,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
571,2020-07-25,Papua New Guinea,448,3
572,2020-07-26,Papua New Guinea,73,1
573,2020-07-27,Papua New Guinea,188,1
574,2020-07-28,Papua New Guinea,188,1
575,2020-07-29,Papua New Guinea,376,2
576,2020-07-30,Papua New Guinea,376,2
577,2020-07-31,Papua New Guinea,225,2
578,2020-08-01,Papua New Guinea,448,3
579,2020-08-02,Papua New Guinea,74,2
580,2020-08-03,Papua New Guinea,311,3
581,2020-08-04,Papua New Guinea,236,1
582,2020-08-05,Papua New Guinea,376,2
583,2020-08-06,Papua New Guinea,546,3
584,2020-08-07,Papua New Guinea,225,2
585,2020-08-08,Papua New Guinea,376,2
586,2020-08-09,Papua New Guinea,37,1
587,2020-08-10,Papua New Guinea,429,3
588,2020-08-11,Papua New Guinea,260,2
589,2020-08-12,Papua New Guinea,601,4
590,2020-08-13,Papua New Guinea,571,3
591,2020-08-14,Papua New Guinea,225,2
592,2020-08-15,Papua New Guinea,188,1
593,2020-08-16,Papua New Guinea,413,3
594,2020-08-17,Papua New Guinea,471,3
595,2020-08-18,Papua New Guinea,332,2
596,2020-08-19,Papua New Guinea,637,4
597,2020-08-20,Papua New Guinea,413,3
598,2020-08-21,Papua New Guinea,37,1
599,2020-08-22,Papua New Guinea,332,2
600,2020-08-23,Papua New Guinea,37,1
601,2020-08-24,Papua New Guinea,435,3
602,2020-08-25,Papua New Guinea,299,3
603,2020-08-26,Papua New Guinea,413,3
604,2020-08-27,Papua New Guinea,673,3
605,2020-08-28,Papua New Guinea,262,2
606,2020-08-29,Papua New Guinea,376,2
607,2020-08-30,Papua New Guinea,37,1
608,2020-08-31,Papua New Guinea,347,4
609,2020-09-01,Papua New Guinea,188,1
610,2020-09-02,Papua New Guinea,450,3
611,2020-09-03,Papua New Guinea,376,2
612,2020-09-04,Papua New Guinea,225,2
