,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
375,2020-01-11,Micronesia (Federated States of),697.0,4.0
376,2020-01-12,Micronesia (Federated States of),166.0,1.0
377,2020-01-13,Micronesia (Federated States of),0.0,0.0
378,2020-01-14,Micronesia (Federated States of),332.0,2.0
379,2020-01-15,Micronesia (Federated States of),0.0,0.0
380,2020-01-16,Micronesia (Federated States of),166.0,1.0
381,2020-01-17,Micronesia (Federated States of),0.0,0.0
382,2020-01-18,Micronesia (Federated States of),491.0,3.0
383,2020-01-19,Micronesia (Federated States of),166.0,1.0
384,2020-01-20,Micronesia (Federated States of),0.0,0.0
385,2020-01-21,Micronesia (Federated States of),498.0,3.0
386,2020-01-22,Micronesia (Federated States of),0.0,0.0
387,2020-01-23,Micronesia (Federated States of),166.0,1.0
388,2020-01-24,Micronesia (Federated States of),0.0,0.0
389,2020-01-25,Micronesia (Federated States of),531.0,3.0
390,2020-01-26,Micronesia (Federated States of),0.0,0.0
391,2020-01-27,Micronesia (Federated States of),166.0,1.0
392,2020-01-28,Micronesia (Federated States of),332.0,2.0
393,2020-01-29,Micronesia (Federated States of),0.0,0.0
394,2020-01-30,Micronesia (Federated States of),166.0,1.0
395,2020-01-31,Micronesia (Federated States of),0.0,0.0
396,2020-02-01,Micronesia (Federated States of),571.0,3.0
397,2020-02-02,Micronesia (Federated States of),166.0,1.0
398,2020-02-03,Micronesia (Federated States of),0.0,0.0
399,2020-02-04,Micronesia (Federated States of),292.0,2.0
400,2020-02-05,Micronesia (Federated States of),0.0,0.0
401,2020-02-06,Micronesia (Federated States of),166.0,1.0
402,2020-02-07,Micronesia (Federated States of),0.0,0.0
403,2020-02-08,Micronesia (Federated States of),418.0,2.0
404,2020-02-09,Micronesia (Federated States of),166.0,1.0
405,2020-02-10,Micronesia (Federated States of),0.0,0.0
406,2020-02-11,Micronesia (Federated States of),332.0,2.0
407,2020-02-12,Micronesia (Federated States of),0.0,0.0
408,2020-02-13,Micronesia (Federated States of),166.0,1.0
409,2020-02-14,Micronesia (Federated States of),0.0,0.0
410,2020-02-15,Micronesia (Federated States of),418.0,2.0
411,2020-02-16,Micronesia (Federated States of),166.0,1.0
412,2020-02-17,Micronesia (Federated States of),0.0,0.0
413,2020-02-18,Micronesia (Federated States of),292.0,2.0
414,2020-02-19,Micronesia (Federated States of),0.0,0.0
415,2020-02-20,Micronesia (Federated States of),166.0,1.0
416,2020-02-21,Micronesia (Federated States of),0.0,0.0
417,2020-02-22,Micronesia (Federated States of),458.0,2.0
418,2020-02-23,Micronesia (Federated States of),166.0,1.0
419,2020-02-24,Micronesia (Federated States of),0.0,0.0
420,2020-02-25,Micronesia (Federated States of),292.0,2.0
421,2020-02-26,Micronesia (Federated States of),0.0,0.0
422,2020-02-27,Micronesia (Federated States of),166.0,1.0
423,2020-02-28,Micronesia (Federated States of),0.0,0.0
424,2020-02-29,Micronesia (Federated States of),458.0,2.0
425,2020-03-01,Micronesia (Federated States of),166.0,1.0
426,2020-03-02,Micronesia (Federated States of),0.0,0.0
